repo_name,category,file_type,file_name,sdlc_phase,line_number,line_content
twisted/twisted,Non-ML Control,documentation,NEWS.rst,P7_Documentation,4078,- todo parameter for IReporter.addExpectedSuccess and
twisted/twisted,Non-ML Control,cicd,codecov.yml,P5_CICD_Deployment,28,# Temporary allow for a bit of slack in overall code coverage due to
google-research/big_vision,Deep Learning,documentation,README.md,P7_Documentation,89,"Resources: [colab and models](https://colab.research.google.com/github/google-research/big_vision/blob/main/big_vision/configs/proj/image_text/SigLIP_demo.ipynb), code TODO."
google-research/big_vision,Deep Learning,documentation,README.md,P7_Documentation,476,| GSAM       | WIP                                                                                           |
oegedijk/explainerdashboard,MLOps,documentation,TODO.md,P7_Documentation,1,# TODO
oegedijk/explainerdashboard,MLOps,documentation,TODO.md,P7_Documentation,35,- [M/L] add group fairness metrics (see refs in old TODO).
crowsonkb/k-diffusion,Deep Learning,documentation,README.md,P7_Documentation,79,TODO: write this section
pachyderm/pachyderm,MLOps,documentation,CHANGELOG-1.x.md,P7_Documentation,909,- Dynamic volume provisioning.  GCE and AWS users (Azure support is coming soon) no longer have to manually provision persistent volumes for deploying Pachyderm.  `pachctl deploy` is now able to dynam
pachyderm/pachyderm,MLOps,documentation,CHANGELOG-1.x.md,P7_Documentation,918,- DeleteCommit (the original implementation of DeleteCommit is very limiting: only open head commits may be removed.  An improved version of DeleteCommit is coming soon)
pachyderm/pachyderm,MLOps,documentation,CHANGELOG.md,P7_Documentation,71,- Address getLogsLoki project TODO - #8553
pachyderm/pachyderm,MLOps,documentation,proto-docs.md,P7_Documentation,1851,| CLUSTER_CREATE_SECRET | 143 | TODO(actgardner): Make k8s secrets into nouns and add an Update RPC |
pachyderm/pachyderm,MLOps,documentation,proto-docs.md,P7_Documentation,4281,TODO: Consider splitting this up into separate structures for each state in a oneof.
pachyderm/pachyderm,MLOps,documentation,proto-docs.md,P7_Documentation,6229,| path_range | [PathRange](#pfs_v2-PathRange) |  | TODO: int64 size_bytes = 3; |
pachyderm/pachyderm,MLOps,documentation,proto-docs.md,P7_Documentation,7520,TODO:
pachyderm/pachyderm,MLOps,documentation,proto-docs.md,P7_Documentation,7557,TODO:
pachyderm/pachyderm,MLOps,documentation,proto-docs.md,P7_Documentation,11544,TODO: Append?
pachyderm/pachyderm,MLOps,documentation,proto-docs.md,P7_Documentation,11565,TODO: Decide how to handle datums.
pachyderm/pachyderm,MLOps,documentation,proto-docs.md,P7_Documentation,11764,| ComposeFileset | [ComposeFilesetRequest](#storage-ComposeFilesetRequest) | [ComposeFilesetResponse](#storage-ComposeFilesetResponse) | ComposeFileset composes a fileset. Composing a fileset involves
