repo_name,category,stars,forks,open_issues,size_kb,primary_language,age_days,created_at,last_updated,description,has_wiki,has_issues,is_fork,license,status
pyinvoke/invoke,Non-ML Control,4752.0,393.0,446.0,5395.0,Python,5198.0,2012-02-29,2026-05-24,Pythonic task management & command execution.,False,True,False,BSD-2-Clause,ok
vaexio/vaex,MLOps,8505.0,602.0,551.0,139693.0,Python,4258.0,2014-09-27,2026-05-25,"Out-of-Core hybrid Apache Arrow/NumPy DataFrame for Python, ML, visualization and exploration of big tabular data at a billion rows per second 🚀",True,True,False,MIT,ok
PaddlePaddle/PaddleSlim,MLOps,1615.0,353.0,27.0,22565.0,Python,2352.0,2019-12-16,2026-05-20,PaddleSlim is an open-source library for deep model compression and architecture search.,True,True,False,Apache-2.0,ok
leggedrobotics/legged_gym,AutoML/RL,2971.0,570.0,58.0,36960.0,Python,1680.0,2021-10-18,2026-05-25,Isaac Gym Environments for Legged Robots,False,True,False,NOASSERTION,ok
pydantic/pydantic-settings,Non-ML Control,1340.0,146.0,54.0,1410.0,Python,1356.0,2022-09-07,2026-05-25,Settings management using pydantic,False,True,False,MIT,ok
ansible/ansible,Non-ML Control,68699.0,24173.0,805.0,264773.0,Python,5193.0,2012-03-06,2026-05-25,Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud ,False,True,False,GPL-3.0,ok
cohere-ai/cohere-python,NLP,388.0,88.0,11.0,13207.0,Python,1951.0,2021-01-20,2026-05-25,Python Library for Accessing the Cohere API,True,True,False,MIT,ok
rapidsai/cuml,MLOps,5201.0,624.0,849.0,76494.0,Python,2783.0,2018-10-11,2026-05-25,cuML - RAPIDS Machine Learning Library,True,True,False,Apache-2.0,ok
zenml-io/zenml-projects,MLOps,315.0,78.0,7.0,720894.0,Jupyter Notebook,1574.0,2022-02-01,2026-05-25,A repository for all ZenML projects that are specific production use-cases.,True,True,False,Apache-2.0,ok
pytest-dev/pluggy,Non-ML Control,1622.0,148.0,53.0,1056.0,Python,4045.0,2015-04-28,2026-05-25,A minimalist production ready plugin system,False,True,False,MIT,ok
python-attrs/attrs,Non-ML Control,5790.0,436.0,147.0,5501.0,Python,4136.0,2015-01-27,2026-05-23,Python Classes Without Boilerplate,True,True,False,MIT,ok
AgentOps-AI/agentops,NLP,5578.0,585.0,160.0,177578.0,Python,1014.0,2023-08-15,2026-05-25,"Python SDK for AI agent monitoring, LLM cost tracking, benchmarking, and more. Integrates with most LLMs and agent frameworks including CrewAI, Agno, OpenAI Agents SDK, Langchain, Autogen, AG2, and Ca",True,True,False,MIT,ok
google-deepmind/launchpad,AutoML/RL,330.0,43.0,22.0,688.0,Python,1922.0,2021-02-18,2026-02-24,,True,True,False,Apache-2.0,ok
rapidsai/cudf,MLOps,9642.0,1061.0,1269.0,206709.0,C++,3305.0,2017-05-07,2026-05-25,cuDF - GPU DataFrame Library ,False,True,False,Apache-2.0,ok
qdrant/qdrant,MLOps,31587.0,2293.0,552.0,54229.0,Rust,2186.0,2020-05-30,2026-05-25,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",False,True,False,Apache-2.0,ok
robusta-dev/robusta,MLOps,3025.0,309.0,179.0,89666.0,Python,1800.0,2021-06-20,2026-05-25,"Better Prometheus alerts for Kubernetes - smart grouping, AI enrichment, and automatic remediation",True,True,False,MIT,ok
robotframework/robotframework,Non-ML Control,11652.0,2547.0,292.0,173507.0,Python,4350.0,2014-06-27,2026-05-25,Generic automation framework for acceptance testing and RPA,False,True,False,Apache-2.0,ok
microsoft/hummingbird,MLOps,3535.0,293.0,74.0,14986.0,Python,2265.0,2020-03-12,2026-05-19,Hummingbird compiles trained ML models into tensor computation for faster inference.,True,True,False,MIT,ok
facebookresearch/rlstructures,AutoML/RL,263.0,10.0,0.0,7673.0,Python,1966.0,2021-01-05,2026-04-10,"RLStructures is a library to facilitate the implementation of new reinforcement learning algorithms. It includes a library, a tutorial, and different RL algorithms provided as examples. ",False,True,False,MIT,ok
encode/httpx,Non-ML Control,15290.0,1149.0,146.0,8594.0,Python,2608.0,2019-04-04,2026-05-25,A next generation HTTP client for Python. 🦋,False,False,False,BSD-3-Clause,ok
chroma-core/chroma,NLP,28089.0,2273.0,634.0,871188.0,Rust,1328.0,2022-10-05,2026-05-25,Search infrastructure for AI,True,True,False,Apache-2.0,ok
feast-dev/feast-spark,MLOps,30.0,23.0,9.0,606.0,Python,1956.0,2021-01-15,2026-03-15,,True,True,False,None,ok
pytorch/serve,MLOps,4360.0,886.0,444.0,126138.0,Java,2426.0,2019-10-03,2026-05-22,"Serve, optimize and scale PyTorch models in production",True,True,False,Apache-2.0,ok
behave/behave,Non-ML Control,3482.0,662.0,73.0,5390.0,Python,5326.0,2011-10-25,2026-05-25,"BDD, Python style.",False,True,False,NOASSERTION,ok
sherpa-ai/sherpa,MLOps,346.0,52.0,19.0,5844.0,JavaScript,2931.0,2018-05-16,2026-05-23,"Hyperparameter optimization that enables researchers to experiment, visualize, and scale quickly.",True,True,False,GPL-3.0,ok
Farama-Foundation/D4RL,AutoML/RL,1676.0,304.0,107.0,29089.0,Python,2234.0,2020-04-12,2026-05-21,A collection of reference environments for offline reinforcement learning,True,True,False,Apache-2.0,ok
pypa/setuptools,Non-ML Control,2830.0,1386.0,649.0,48146.0,Python,3709.0,2016-03-29,2026-05-25,Official project repository for the Setuptools build system,True,True,False,MIT,ok
tensorflow/model-analysis,MLOps,1266.0,281.0,38.0,25153.0,Python,2985.0,2018-03-23,2026-05-13,Model analysis tools for TensorFlow,True,True,False,Apache-2.0,ok
rq/rq-scheduler,Non-ML Control,1516.0,234.0,108.0,545.0,Python,5092.0,2012-06-15,2026-05-25,A lightweight library that adds job scheduling capabilities to RQ (Redis Queue),True,True,False,MIT,ok
milvus-io/pymilvus,NLP,1381.0,434.0,390.0,9633.0,Python,2538.0,2019-06-13,2026-05-24,Python SDK for Milvus Vector Database,False,True,False,Apache-2.0,ok
qdrant/qdrant-client,NLP,1289.0,225.0,149.0,7065.0,Python,1931.0,2021-02-09,2026-05-25,Python client for Qdrant vector search engine,True,True,False,Apache-2.0,ok
tensorflow/data-validation,MLOps,779.0,182.0,30.0,4808.0,Python,2884.0,2018-07-02,2026-05-16,Library for exploring and validating machine learning data,True,True,False,Apache-2.0,ok
