repo_name,category,avg_complexity,maintainability_index,flake8_violations,total_functions,complex_functions,loc
catalyst-team/catalyst,MLOps,2.38,75.43,36.0,2397.0,28.0,57291.0
sqlalchemy/sqlalchemy,Non-ML Control,2.08,50.07,,30535.0,524.0,
sphinx-doc/sphinx,Non-ML Control,3.16,76.3,233.0,8182.0,365.0,147879.0
facebookresearch/mae,Deep Learning,3.1,66.79,75.0,104.0,4.0,2502.0
open-mmlab/mmtracking,Computer Vision,4.69,76.6,33.0,990.0,84.0,36314.0
shankarpandala/lazypredict,AutoML/RL,3.12,69.47,0.0,508.0,14.0,10042.0
Arize-ai/phoenix,MLOps,3.84,68.06,807.0,12579.0,724.0,321437.0
automl/Auto-PyTorch,AutoML/RL,3.56,74.8,72.0,2501.0,153.0,64051.0
executablebooks/MyST-Parser,Non-ML Control,3.78,74.12,15.0,481.0,34.0,10711.0
celery/celery,Non-ML Control,2.55,63.78,43.0,7781.0,116.0,99667.0
tryolabs/norfair,Computer Vision,3.46,61.69,175.0,319.0,14.0,10086.0
facebookresearch/dino,Deep Learning,3.23,51.86,169.0,169.0,6.0,3782.0
h2oai/h2o-3,AutoML/RL,3.18,71.83,36302.0,7824.0,410.0,102627.0
google/init2winit,AutoML/RL,2.67,66.7,11091.0,1937.0,43.0,64064.0
readthedocs/readthedocs.org,Non-ML Control,2.22,86.94,370.0,6168.0,90.0,134415.0
langfuse/langfuse,MLOps,,,8.0,,,727.0
scrapy/scrapy,Non-ML Control,2.65,65.76,63.0,5781.0,75.0,76492.0
microsoft/Swin-Transformer,Deep Learning,3.37,58.12,136.0,311.0,10.0,6708.0
traceloop/openllmetry,MLOps,4.23,67.35,142.0,5830.0,500.0,135882.0
google-deepmind/rlax,AutoML/RL,1.47,70.32,1992.0,540.0,0.0,11315.0
openai/procgen,AutoML/RL,3.43,74.0,27.0,49.0,1.0,1227.0
jupyterlab/jupyterlab,Non-ML Control,3.47,78.53,54.0,572.0,23.0,12849.0
facebookresearch/ConvNeXt,Deep Learning,4.95,80.85,280.0,132.0,18.0,5077.0
google-deepmind/reverb,AutoML/RL,2.12,75.38,1338.0,424.0,3.0,8630.0
MVIG-SJTU/AlphaPose,Computer Vision,3.46,67.67,4052.0,1517.0,71.0,34328.0
open-telemetry/opentelemetry-python,MLOps,1.87,84.78,1574.0,5363.0,56.0,112998.0
jupyter/notebook,Non-ML Control,2.8,84.25,2.0,41.0,0.0,1089.0
pydantic/pydantic,Non-ML Control,2.97,,,8166.0,231.0,
google-research/simclr,Deep Learning,3.53,58.92,1118.0,154.0,7.0,5238.0
zuoxingdong/lagom,AutoML/RL,3.43,70.03,2095.0,682.0,32.0,10845.0
microsoft/CvT,Computer Vision,3.79,67.9,26.0,104.0,6.0,2454.0
facebookresearch/Pearl,AutoML/RL,2.5,80.47,43.0,1244.0,21.0,32469.0
getsentry/sentry-python,MLOps,5.64,62.46,486.0,4962.0,666.0,168235.0
pytest-dev/pytest,Non-ML Control,2.73,65.32,53.0,6029.0,129.0,107828.0
facebookresearch/ReAgent,AutoML/RL,2.51,77.14,183.0,3691.0,68.0,68525.0
DataDog/datadogpy,MLOps,2.89,75.36,406.0,1154.0,49.0,22888.0
ipython/ipython,Non-ML Control,3.16,68.18,3800.0,3863.0,156.0,84630.0
pygments/pygments,Non-ML Control,3.23,,,2089.0,69.0,
unslothai/unsloth,Deep Learning,4.67,54.52,47087.0,6834.0,572.0,221471.0
redis/redis-py,Non-ML Control,3.25,56.46,269.0,9758.0,382.0,169898.0
apple/ml-4m,Computer Vision,3.84,61.75,4059.0,1344.0,92.0,32679.0
kengz/SLM-Lab,AutoML/RL,3.08,64.08,245.0,957.0,20.0,15706.0
replicate/replicate-python,MLOps,3.35,63.82,13.0,347.0,22.0,8113.0
pfnet/pfrl,AutoML/RL,2.88,70.25,8.0,1598.0,54.0,31332.0
pyparsing/pyparsing,Non-ML Control,2.84,70.13,1414.0,1675.0,53.0,51206.0
axolotl-ai-cloud/axolotl,Deep Learning,3.81,68.72,509.0,5225.0,311.0,144009.0
iterative/mlem,MLOps,2.58,66.17,39.0,2366.0,32.0,33477.0
arrow-py/arrow,Non-ML Control,5.37,54.85,12.0,1115.0,157.0,19928.0
artidoro/qlora,Deep Learning,5.72,49.73,107.0,29.0,3.0,1220.0
openai/mujoco-py,AutoML/RL,3.49,74.63,347.0,217.0,10.0,5843.0
aio-libs/aiohttp,Non-ML Control,2.96,47.07,56.0,5376.0,128.0,91932.0
bentoml/Yatai,MLOps,,100.0,0.0,,,
mlcommons/algorithmic-efficiency,AutoML/RL,2.81,72.84,11215.0,1891.0,83.0,48244.0
google-deepmind/dm_control,AutoML/RL,2.11,72.19,13428.0,4031.0,38.0,63662.0
cortexlabs/cortex,MLOps,3.57,81.58,107.0,188.0,14.0,5791.0
karpathy/llama2.c,Deep Learning,3.83,61.79,118.0,59.0,5.0,1827.0
encode/django-rest-framework,Non-ML Control,2.6,64.66,122.0,3532.0,43.0,40281.0
polyaxon/polyaxon,MLOps,,,0.0,,,
MagicStack/uvloop,Non-ML Control,1.78,59.89,18.0,534.0,3.0,11434.0
openai/safety-gym,AutoML/RL,4.66,71.37,168.0,117.0,12.0,2909.0
facebookresearch/Detectron,Computer Vision,3.25,68.93,57.0,608.0,28.0,18631.0
open-mmlab/mmdetection3d,Computer Vision,4.13,76.91,86.0,3062.0,225.0,134787.0
Farama-Foundation/Metaworld,AutoML/RL,2.6,55.23,23.0,960.0,35.0,20531.0
amoffat/sh,Non-ML Control,2.3,48.57,3.0,392.0,5.0,7474.0
tornadoweb/tornado,Non-ML Control,2.09,59.13,42.0,3378.0,43.0,46124.0
Trusted-AI/AIX360,MLOps,2.81,80.4,3521.0,1235.0,49.0,28388.0
google-research/maxvit,Computer Vision,2.62,73.53,553.0,146.0,2.0,2698.0
twisted/twisted,Non-ML Control,1.69,72.93,742.0,28287.0,148.0,395916.0
keleshev/schema,Non-ML Control,3.2,36.05,5.0,178.0,7.0,3276.0
google-research/big_vision,Deep Learning,3.18,,,1482.0,53.0,
benoitc/gunicorn,Non-ML Control,3.07,74.53,378.0,5285.0,111.0,82174.0
google-deepmind/bsuite,AutoML/RL,1.82,90.86,1884.0,567.0,3.0,12149.0
oegedijk/explainerdashboard,MLOps,3.78,51.09,1036.0,1301.0,70.0,36549.0
openai/consistency_models,Deep Learning,2.72,55.9,49.0,359.0,6.0,6279.0
minerllabs/minerl,AutoML/RL,2.24,76.3,607.0,959.0,14.0,12582.0
google-deepmind/dm_pix,Computer Vision,2.35,72.18,801.0,139.0,0.0,4113.0
crowsonkb/k-diffusion,Deep Learning,2.43,48.04,125.0,431.0,8.0,4665.0
tartley/colorama,Non-ML Control,1.82,76.25,194.0,159.0,0.0,1886.0
gevent/gevent,Non-ML Control,1.8,56.56,9170.0,19879.0,164.0,266033.0
pachyderm/pachyderm,MLOps,2.19,73.89,478.0,1222.0,13.0,19109.0
AI4Finance-Foundation/FinRL,AutoML/RL,3.21,71.24,264.0,471.0,14.0,18610.0
google-deepmind/optax,MLOps,1.75,67.76,5725.0,1216.0,2.0,39685.0
MongoEngine/mongoengine,Non-ML Control,4.08,51.63,3176.0,2025.0,125.0,41828.0
msgpack/msgpack-python,Non-ML Control,3.27,61.41,15.0,214.0,9.0,3264.0
tatsu-lab/stanford_alpaca,Deep Learning,3.75,60.8,10.0,28.0,3.0,770.0
dagster-io/dagster,MLOps,2.89,,,43172.0,1478.0,
pgmpy/pgmpy,MLOps,3.08,79.35,64.0,3993.0,160.0,100673.0
AI4Finance-Foundation/ElegantRL,AutoML/RL,2.66,61.56,3543.0,3403.0,84.0,65095.0
coleifer/peewee,Non-ML Control,2.1,44.7,6184.0,4777.0,48.0,53899.0
OpenBMB/ChatDev,Deep Learning,3.8,62.63,894.0,1531.0,81.0,29697.0
mongodb/motor,Non-ML Control,1.91,70.4,135.0,1030.0,6.0,19303.0
arviz-devs/arviz,MLOps,3.38,77.64,6.0,13.0,0.0,750.0
mage-ai/mage-ai,MLOps,3.33,76.08,3480.0,11477.0,602.0,67311.0
google/evojax,AutoML/RL,1.87,70.76,338.0,442.0,2.0,8909.0
rq/rq,Non-ML Control,2.04,66.52,17.0,1430.0,24.0,23821.0
pynamodb/PynamoDB,Non-ML Control,2.61,69.94,190.0,1075.0,20.0,18729.0
nomic-ai/gpt4all,Deep Learning,3.26,65.8,288.0,123.0,9.0,3098.0
determined-ai/determined,MLOps,3.17,68.16,593.0,7047.0,268.0,129115.0
miguelgrinberg/Flask-SocketIO,Non-ML Control,2.07,54.01,12.0,168.0,3.0,2735.0
tensorflow/lattice,MLOps,3.98,57.71,3876.0,626.0,46.0,24898.0
CMA-ES/pycma,AutoML/RL,4.1,40.03,1878.0,1258.0,81.0,27107.0
clearml/clearml-serving,MLOps,3.93,80.61,34.0,293.0,25.0,6259.0
DEAP/deap,AutoML/RL,3.51,71.75,785.0,629.0,38.0,17305.0
google-deepmind/distrax,MLOps,1.56,64.99,4897.0,1744.0,14.0,28046.0
pypa/wheel,Non-ML Control,4.73,68.1,11.0,137.0,16.0,4043.0
deepchecks/deepchecks,MLOps,2.49,79.4,2183.0,3497.0,94.0,90243.0
bentoml/OpenLLM,MLOps,4.1,51.95,638.0,106.0,8.0,2135.0
trevorstephens/gplearn,AutoML/RL,4.38,62.13,150.0,117.0,10.0,4947.0
pypa/build,Non-ML Control,2.44,74.6,22.0,299.0,4.0,5751.0
grpc/grpc,Non-ML Control,2.07,90.1,36173.0,6487.0,78.0,129862.0
FlagAI-Open/FlagAI,Deep Learning,3.61,66.62,23943.0,8720.0,489.0,191545.0
flyteorg/flyte,MLOps,1.26,93.0,8351.0,1014.0,2.0,18340.0
unionai-oss/pandera,MLOps,2.77,68.34,421.0,4656.0,112.0,98841.0
optuna/optuna-integration,AutoML/RL,3.11,77.76,1.0,653.0,10.0,15591.0
protocolbuffers/protobuf,Non-ML Control,1.91,66.47,7348.0,2210.0,30.0,42837.0
saltstack/salt,Non-ML Control,3.74,,,31634.0,1802.0,
abetlen/llama-cpp-python,Deep Learning,2.35,65.15,285.0,845.0,21.0,19714.0
tensorflow/tfx,MLOps,2.25,84.42,23101.0,6472.0,137.0,160526.0
apache/beam,MLOps,2.11,70.28,81071.0,23117.0,295.0,50157.0
google/ml-metadata,MLOps,2.0,82.75,550.0,241.0,2.0,5456.0
open-mmlab/mmdeploy,MLOps,3.12,85.96,10.0,1931.0,59.0,59575.0
miguelgrinberg/python-socketio,Non-ML Control,2.79,62.83,19.0,1243.0,29.0,18704.0
marshmallow-code/marshmallow,Non-ML Control,3.22,59.51,15.0,1121.0,28.0,15698.0
cherrypy/cherrypy,Non-ML Control,2.97,62.01,19.0,1387.0,48.0,31004.0
hpcaitech/ColossalAI,Deep Learning,3.62,68.33,3670.0,12157.0,722.0,31644.0
joke2k/faker,Non-ML Control,2.74,,,4788.0,56.0,
googleapis/python-aiplatform,MLOps,2.67,,,81337.0,1797.0,
boto/boto3,Non-ML Control,2.06,77.01,61.0,1308.0,6.0,21113.0
microsoft/semantic-kernel,NLP,3.12,73.98,761.0,8797.0,259.0,5230.0
D-X-Y/AutoDL-Projects,AutoML/RL,3.2,59.78,2003.0,1808.0,65.0,44463.0
Textualize/rich,Non-ML Control,3.01,,,1914.0,64.0,
microsoft/archai,AutoML/RL,3.1,74.09,3359.0,3281.0,115.0,64172.0
paramiko/paramiko,Non-ML Control,2.69,54.92,68.0,1499.0,41.0,27226.0
kubeflow/katib,MLOps,2.65,73.66,3927.0,3166.0,66.0,59863.0
alibaba/FederatedScope,MLOps,3.36,73.22,449.0,2401.0,120.0,56283.0
Textualize/textual,Non-ML Control,2.58,67.35,644.0,8544.0,173.0,140960.0
yaml/pyyaml,Non-ML Control,3.73,53.83,1323.0,630.0,37.0,9433.0
Netflix/dispatch,MLOps,2.37,79.3,324.0,3928.0,81.0,83974.0
pallets/click,Non-ML Control,3.29,59.8,74.0,1232.0,37.0,25948.0
tqdm/tqdm,Non-ML Control,3.83,74.82,0.0,474.0,26.0,9018.0
Significant-Gravitas/AutoGPT,NLP,3.39,61.86,771.0,17850.0,640.0,428335.0
triton-inference-server/server,MLOps,3.32,74.45,1443.0,3073.0,162.0,96741.0
microsoft/qlib,AutoML/RL,2.63,67.52,981.0,4018.0,72.0,73999.0
pypa/pip,Non-ML Control,2.96,,,8120.0,257.0,
aws/sagemaker-training-toolkit,MLOps,2.42,75.77,28.0,532.0,10.0,11557.0
microsoft/autogen,NLP,3.46,71.05,1880.0,4870.0,256.0,112463.0
neptune-ai/neptune-client,MLOps,2.06,85.33,78.0,2546.0,22.0,38427.0
googleapis/python-bigquery,MLOps,1.95,81.86,36.0,5115.0,48.0,102301.0
AI4Finance-Foundation/FinGPT,AutoML/RL,3.08,69.99,1679.0,1177.0,42.0,31051.0
