repo_name,category,month,commit_count
bentoml/BentoML,MLOps,2024-12,52
bentoml/BentoML,MLOps,2025-01,24
bentoml/BentoML,MLOps,2025-02,35
bentoml/BentoML,MLOps,2025-03,46
bentoml/BentoML,MLOps,2025-04,32
bentoml/BentoML,MLOps,2025-05,26
bentoml/BentoML,MLOps,2025-06,16
bentoml/BentoML,MLOps,2025-07,22
bentoml/BentoML,MLOps,2025-08,17
bentoml/BentoML,MLOps,2025-09,31
bentoml/BentoML,MLOps,2025-10,13
bentoml/BentoML,MLOps,2025-11,11
bentoml/BentoML,MLOps,2025-12,13
bentoml/BentoML,MLOps,2026-01,8
bentoml/BentoML,MLOps,2026-02,10
bentoml/BentoML,MLOps,2026-03,12
bentoml/BentoML,MLOps,2026-04,11
bentoml/BentoML,MLOps,2026-05,1
optuna/optuna,AutoML/RL,2025-08,2
optuna/optuna,AutoML/RL,2025-12,95
optuna/optuna,AutoML/RL,2026-01,39
optuna/optuna,AutoML/RL,2026-02,87
optuna/optuna,AutoML/RL,2026-03,217
optuna/optuna,AutoML/RL,2026-04,53
optuna/optuna,AutoML/RL,2026-05,7
openai/gym,AutoML/RL,2021-07,39
openai/gym,AutoML/RL,2021-08,60
openai/gym,AutoML/RL,2021-09,49
openai/gym,AutoML/RL,2021-10,16
openai/gym,AutoML/RL,2021-11,15
openai/gym,AutoML/RL,2021-12,23
openai/gym,AutoML/RL,2022-01,21
openai/gym,AutoML/RL,2022-02,43
openai/gym,AutoML/RL,2022-03,34
openai/gym,AutoML/RL,2022-04,33
openai/gym,AutoML/RL,2022-05,34
openai/gym,AutoML/RL,2022-06,46
openai/gym,AutoML/RL,2022-07,28
openai/gym,AutoML/RL,2022-08,27
openai/gym,AutoML/RL,2022-09,22
openai/gym,AutoML/RL,2022-10,7
openai/gym,AutoML/RL,2023-01,2
openai/gym,AutoML/RL,2026-03,1
microsoft/nni,AutoML/RL,2022-02,3
microsoft/nni,AutoML/RL,2022-03,77
microsoft/nni,AutoML/RL,2022-04,67
microsoft/nni,AutoML/RL,2022-05,38
microsoft/nni,AutoML/RL,2022-06,34
microsoft/nni,AutoML/RL,2022-07,21
microsoft/nni,AutoML/RL,2022-08,40
microsoft/nni,AutoML/RL,2022-09,12
microsoft/nni,AutoML/RL,2022-10,16
microsoft/nni,AutoML/RL,2022-11,29
microsoft/nni,AutoML/RL,2022-12,12
microsoft/nni,AutoML/RL,2023-01,8
microsoft/nni,AutoML/RL,2023-02,27
microsoft/nni,AutoML/RL,2023-03,59
microsoft/nni,AutoML/RL,2023-04,20
microsoft/nni,AutoML/RL,2023-05,19
microsoft/nni,AutoML/RL,2023-06,13
microsoft/nni,AutoML/RL,2023-07,2
microsoft/nni,AutoML/RL,2023-08,2
microsoft/nni,AutoML/RL,2023-10,1
automl/auto-sklearn,AutoML/RL,2017-11,1
automl/auto-sklearn,AutoML/RL,2020-05,10
automl/auto-sklearn,AutoML/RL,2020-06,5
automl/auto-sklearn,AutoML/RL,2020-07,25
automl/auto-sklearn,AutoML/RL,2020-08,18
automl/auto-sklearn,AutoML/RL,2020-09,26
automl/auto-sklearn,AutoML/RL,2020-10,10
automl/auto-sklearn,AutoML/RL,2020-11,22
automl/auto-sklearn,AutoML/RL,2020-12,23
automl/auto-sklearn,AutoML/RL,2021-01,17
automl/auto-sklearn,AutoML/RL,2021-02,13
automl/auto-sklearn,AutoML/RL,2021-03,12
automl/auto-sklearn,AutoML/RL,2021-04,15
automl/auto-sklearn,AutoML/RL,2021-05,9
automl/auto-sklearn,AutoML/RL,2021-06,8
automl/auto-sklearn,AutoML/RL,2021-07,20
automl/auto-sklearn,AutoML/RL,2021-08,54
automl/auto-sklearn,AutoML/RL,2021-09,13
automl/auto-sklearn,AutoML/RL,2021-10,3
automl/auto-sklearn,AutoML/RL,2021-11,26
automl/auto-sklearn,AutoML/RL,2021-12,30
automl/auto-sklearn,AutoML/RL,2022-01,17
automl/auto-sklearn,AutoML/RL,2022-02,17
automl/auto-sklearn,AutoML/RL,2022-03,8
automl/auto-sklearn,AutoML/RL,2022-04,12
automl/auto-sklearn,AutoML/RL,2022-05,9
automl/auto-sklearn,AutoML/RL,2022-06,23
automl/auto-sklearn,AutoML/RL,2022-07,3
automl/auto-sklearn,AutoML/RL,2022-08,37
automl/auto-sklearn,AutoML/RL,2022-09,1
automl/auto-sklearn,AutoML/RL,2022-10,4
automl/auto-sklearn,AutoML/RL,2022-11,7
automl/auto-sklearn,AutoML/RL,2022-12,1
automl/auto-sklearn,AutoML/RL,2023-04,1
